userID,ISBN,bookRating,bookTitle,totalRatingCount,Genre
277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,82,"dwarves, frivolous litigation, trespassers, impotence, biologists, Anthropomorphism, bears, tranquilizers, porridge, tracking collars, cosmetics, peasants, corsets, shifts, lookism, music recording industry, talent management, Sadomasochism, Liberalism in the United States, birth control, dwarfism, reproductive rights, thatching, wolves, speciesism, radicalization, feminism, nudism, freedom fighters, satire, censorship, parody, American Humorous stories, Contes de fées, Adaptations, Fiction, Fairy tales, Romans, nouvelles, Political correctness, Politiquement correct (Mouvement), Récits humoristiques américains, Humorous stories, Adaptation, Humorous fiction, Short stories, Fractured fairy tales, Fiction, humorous, Large type books, Fairy tales, adaptations, Fiction, political"
277427,0060930535,0,The Poisonwood Bible: A Novel,133,"Missionaries, Fiction, Americans, Families, Religious fundamentalism, History, Fiction, historical, general, Africa, fiction, Missionaries, fiction, Literature, Family, open_syllabus_project, Colonialism, Christian missionaries, Literary, Culture conflict, Historical fiction, Baptists, Fiction, historical, Americans in Africa, Emotionally abusive men, Religious fanatics, Christian families, Americans in Congo, Large type books, nyt:e-book-fiction=2013-01-27, New York Times bestseller, Evangelical Mission, Murder, Lierary Fiction, Postcolonial Africa, Racism, War of Independence, Political, Fiction, general"
277427,0060934417,0,Bel Canto: A Novel,108,"New York Times reviewed, Fiction, psychological, Fiction, romance, general, award:pen_faulkner_award=fiction, award:pen_faulkner_award=2002, Psychological fiction, Embassy buildings, PEN/Faulkner Award Winner, Opera, Victims of terrorism, Fiction, Women singers, Hostages, Love stories, Large type books, Fiction, suspense, South america, fiction, Fiction, romance, contemporary, Hostage negotiations"
277427,0061009059,9,One for the Money (Stephanie Plum Novels (Paperback)),108,"Women detectives, Detective and mystery stories, Bounty hunters, Stephanie Plum (Fictitious character), Private investigators, nyt:mass_market_paperback=2011-12-17, Fiction, New York Times bestseller, Plum, stephanie (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Trenton (n.j.), fiction, Mystery and detective stories, Mystery fiction, Mystery & Detective, Large type books, humor, mystrey"
277427,006440188X,0,The Secret Garden,79,"Fiction, general, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, Child and youth fiction, Children's fiction, Gardens, fiction, England, fiction, American literature, Orphans, fiction, Great britain, history, fiction, English language, Orphans, Juvenile fiction, Gardens, Fiction, Children with disabilities, Loneliness in children, Fiction, coming of age, Fantasy fiction, Toy and movable books, American fiction, People with disabilities, Stories, Huérfanos, Ficción juvenil, Jardines, Impedidos, Friendship, Sick children, History, Families, Pictorial works, Familles, Romans, nouvelles, etc. pour la jeunesse, Amitié, Jardins, Ouvrages illustrés, Children's stories, American, Great Britain, Personnes handicapées, Girls, fiction, American literature, study and teaching, American fiction, history and criticism, Children, Enfants, Romans, nouvelles, Orphelins, Roman pour la jeunesse, Physically handicapped, England, Literature, Dictionaries, Chinese, Selbsterziehung, Freundschaft, Garten, Waisenkind, Korean, Spanish, French, Therapeutic use, Gardening, Cousins, Spanish language materials, Detective and mystery stories, reading, strategies, classic, Accessible book, Protected DAISY, Physically disabled children, Children's stories, English, People with physical disabilities, Juvenile literature, Children's stories, JUVENILE FICTION / Family / Orphans & Foster Homes, JUVENILE FICTION / Girls & Women, JUVENILE FICTION / Social Themes / Friendship, JUVENILE FICTION / Lifestyles / Country Life, JUVENILE FICTION / Disabilities & Special Needs, English language, textbooks for foreign speakers, Readers, British and irish fiction (fictional works by one author), Grandparents, fiction, Great britain, history, 19th century, fiction, Grandfathers, Language and languages, study and teaching, Love, fiction, Mystery and detective stories, Holmes, sherlock (fictitious character), fiction, Fiction, mystery & detective, general, Private investigators, fiction, Literature and fiction, juvenile, Fiction, action & adventure, Fiction, thrillers, suspense"
277427,0140067477,0,The Tao of Pooh,77,"criticism, interpretation, Books and reading, Characters, Children, English Children's stories, History, History and criticism, Milne, A. A. (Alan Alexander), 1882-1956--Characters- Winnie the Pooh, Milne, A.A. (Alan Alexander) , 1882-1956 --Religion and ethics, Religion, Taoism, Taoism in literature, Teddy bears in literature, Jeugdliteratuur, Engels, Taoïsme, Religion and ethics, Children's stories, English, Winnie-the-Pooh (Fictional character), Milne, A.A. (Alan Alexander), 1882-1956, Ethics, Winnie the Pooh, Winnie-the-pooh (fictitious character), Milne, a. a. (alan alexander), 1882-1956, Children's literature, history and criticism"
277427,014029628X,0,Girl in Hyacinth Blue,92,"College teachers, Fiction, Literature, Large type books, American fiction, Fiction, psychological, Artists, fiction, Fiction, historical, general, Fathers and daughters, fiction, Amsterdam (netherlands), fiction, World war, 1939-1945, fiction"
277427,014100018X,0,Chocolat,104,"Cities and towns, Lent, Fiction, Open Library Staff Picks, Chocolate, Fiction, general, France, fiction, Fiction, media tie-in"
277427,0142001740,0,The Secret Life of Bees,209,"Teenage girls, Fiction, South Carolina in fiction, African American women, Beekeepers, Race relations, Literature, Maternal deprivation, Sisters, Domestic fiction, African American women in fiction, Open Library Staff Picks, Beekeepers in fiction, Maternal deprivation in fiction, Race relations in fiction, Sisters in fiction, Teenage girls in fiction, Mothers and daughters, Girls, Racism, Beekeeping, Teenagers, Historical fiction, African Americans, Women, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Teenage boy/girl relations, Secrets, Fictional Works, Fiction, family life, South carolina, fiction, African americans, fiction, Sisters, fiction, Fiction, coming of age, Large type books, Afrcian American Women, nyt:trade-fiction-paperback=2008-07-06, New York Times bestseller, Fiction, historical, general, Fiction, family life, general, South carolina in fiction, African american women, African american women in fiction, Open library staff picks, African americans, Reading level-grade 9, Reading level-grade 8, Reading level-grade 11, Reading level-grade 10, Reading level-grade 12, Fictional works, Afrcian american women, Nyt:trade-fiction-paperback=2008-07-06, New york times bestseller"
277427,0312966091,0,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),105,"Fiction, mystery & detective, women sleuths, Plum, stephanie (fictitious character), fiction, New jersey, fiction, Trenton (n.j.), fiction"
